CACODE	CONSTITUENCY	CAND_NUM	NAME	RESULT	VOTE
C13	FEI TSUI	2	LAI CHI KEONG JOSEPH	2,314*	2314
C13	FEI TSUI	3	LUI CHI MAN	114	114
C14	MOUNT PARKER	1	WONG KIN PAN	Uncontested	NA
C15	BRAEMAR HILL	1	SHIU KA FAI	Uncontested	NA
C16	FORTRESS HILL	1	LO WING KWAN FRANKIE(LO SHAN)	Uncontested	NA
C17	CITY GARDEN	1	HUI CHING ON	Uncontested	NA
C18	PROVIDENT	1	KWOK WAI KEUNG	Uncontested	NA
C19	FORT STREET	1	HUNG LIN CHAM	Uncontested	NA
C20	KAM PING	1	CHOY SO YUK	Uncontested	NA
C21	TANNER	1	CHENG TAT HUNG	2,338*	2338
C21	TANNER	2	TSANG CHEUK YI	2,039	2039
C22	HEALTHY VILLAGE	1	CHENG CHI SING	Uncontested	NA
C23	QUARRY BAY	1	IP CHEE TAK	1,010	1010
C23	QUARRY BAY	2	TING KONG HO EDDIE	1,656*	1656
C24	NAM FUNG	1	YANG MO	1,182	1182
C24	NAM FUNG	2	LI CHAK SUM	42	42
C24	NAM FUNG	3	CHEUNG KWOK CHEONG	3,343*	3343
C25	KORNHILL	1	WONG PO YI	29	29
C25	KORNHILL	2	LEUNG WING MAN(BONNIE)	2,535*	2535
C25	KORNHILL	3	HUNG LUNG CHUEN	2,443	2443
C26	KORNHILL GARDEN	1	KONG YUK FOON DOREEN	1,814	1814
C26	KORNHILL GARDEN	2	LEUNG SIU SUN	2,384*	2384
C27	HING TUNG	1	TSANG KWOK FAI	2,808	2808
C27	HING TUNG	2	HUI LAM HING	3,310*	3310
C28	SAI WAN HO	1	KONG CHACK HO	1,956	1956
C28	SAI WAN HO	2	MAK TAK CHING	2,222*	2222
C29	LOWER YIU TUNG	1	WONG CHI CHUNG(DOMINIC)	1,658*	1658
C29	LOWER YIU TUNG	2	NG KAM WAI	977	977
C29	LOWER YIU TUNG	3	WONG SZE CHIN RICKY(RICKY)	992	992
C30	UPPER YIU TUNG	1	CHIU CHI KEUNG	Uncontested	NA
C31	HING MAN	1	CHEUNG CHUN PONG	1,391	1391
C31	HING MAN	2	LAU HING YEUNG	2,470*	2470
C32	LOK HONG	1	TSANG KIN SHING(THE BULL)	1,969	1969
C32	LOK HONG	2	LUN MAN KIT	48	48
C32	LOK HONG	3	LI CHUN CHAU	2,396*	2396
C33	TSUI TAK	1	LEE CHUN KEUNG	2,351*	2351
C33	TSUI TAK	2	LI KIN HANG	979	979
C34	YUE WAN	1	CHUNG SHU KUN CHRISTOPHER(CHRIS CHUNG)	1,863	1863
C34	YUE WAN	2	CHUI CHI KIN	2,026*	2026
C35	KAI HIU	1	CHIK KIT LING ELAINE	1,514	1514
C35	KAI HIU	2	LAM CHUI LIN(ALICE)	2,241*	2241
D01	ABERDEEN	1	MAN HO KEUNG ZICO	1,598	1598
D01	ABERDEEN	2	LEE KIT HING	621	621
D01	ABERDEEN	3	YAM PAULINE	1,936*	1936
D01	ABERDEEN	4	HO WAI CHUN	226	226
D02	AP LEI CHAU ESTATE	1	LAM YUK CHUN	Uncontested	NA
D03	AP LEI CHAU NORTH	1	LEUNG KWOK KEUNG	755	755
D03	AP LEI CHAU NORTH	2	CHEUNG SIK YUNG	1,556*	1556
D04	LEI TUNG I	1	WONG YUN KEI	177	177
D04	LEI TUNG I	2	LI KA YING	1,810	1810
D04	LEI TUNG I	3	AU NOK HIN	3,068*	3068
D05	LEI TUNG II	1	LO KIN HEI	2,564*	2564
D05	LEI TUNG II	2	TSOI MAN LUNG TIMOTHY	119	119
D05	LEI TUNG II	3	PANG SIU KEI	1,854	1854
D05	LEI TUNG II	4	TANG KA LOK	21	21
D06	SOUTH HORIZONS EAST	1	CHAN KA LOK(DR. KENNETH CHAN)	1,845	1845
D06	SOUTH HORIZONS EAST	2	LAM KAI FAI	2,180*	2180
D06	SOUTH HORIZONS EAST	3	AU YUEN FAT JOSEPH	643	643
D07	SOUTH HORIZONS WEST	1	YUEN MI MING ERICA	2,245	2245
D07	SOUTH HORIZONS WEST	2	CHAN JUDY KAPUI	2,945*	2945
D08	WAH KWAI	1	LAU PAK TUNG(DANIEL LAU)	94	94
D08	WAH KWAI	2	YEUNG SIU PIK	2,652	2652
D08	WAH KWAI	3	MAK TSE HOW LING ADA	2,699*	2699
D09	WAH FU SOUTH	1	AU LAP SING	1,632*	1632
D09	WAH FU SOUTH	2	LI SHEE LIN	1,629	1629
D10	WAH FU NORTH	1	WONG CHOI LAP	2,089	2089
D10	WAH FU NORTH	2	LAW YUET WAH	21	21
D10	WAH FU NORTH	3	CHAI MAN HON	2,408*	2408
D10	WAH FU NORTH	4	WUN KEI YAN	29	29
D11	POKFULAM	1	YOUNG CHIT ON JEREMY	1,144	1144
D11	POKFULAM	2	ZIMMERMAN PAULUS JOHANNES(PAUL ZIMMERMAN)	1,952*	1952
D12	CHI FU	1	CHU CHING HONG	2,762*	2762
D12	CHI FU	2	YIU CHUNG YIM	2,223	2223
D13	TIN WAN	1	CHAN FU MING	Uncontested	NA
D14	SHEK YUE	1	CHU LAP WAI	Uncontested	NA
D15	WONG CHUK HANG	1	CHAN WING YAN	2,190	2190
D15	WONG CHUK HANG	2	TSUI YUEN WA	2,645*	2645
D16	BAYS AREA	1	SCHAUS DAVID JOHN(DAVID SCHAUS)	474	474
D16	BAYS AREA	2	FUNG SE GOUN FERGUS	957*	957
D17	STANLEY & SHEK O	1	TSANG TSZ HO	408	408
D17	STANLEY & SHEK O	2	YAO JIE NING MAXINE	752	752
D17	STANLEY & SHEK O	3	LEE PUI YING(CHAN LEE PUI YING)	1,832*	1832
E01	TSIM SHA TSUI WEST	1	LAU CHI HUNG	828	828
E01	TSIM SHA TSUI WEST	2	HUNG CHIU WAH(DEREK)	1,213*	1213
E02	JORDAN SOUTH	1	IP NGO TUNG CHRIS	1,531*	1531
E02	JORDAN SOUTH	2	LUI NGAR YEE JOEY	524	524
E03	JORDAN WEST	1	CHAN SIU TONG	Uncontested	NA
E04	YAU MA TEI SOUTH	1	AU YEUNG TUNG	1,298	1298
E04	YAU MA TEI SOUTH	2	YEUNG TSZ HEI(BENNY)	2,124*	2124
E05	CHARMING	1	LEE WAI FUNG	2,053	2053
E05	CHARMING	2	CHUNG KONG MO	2,473*	2473
E06	MONG KOK WEST	1	HUI TAK LEUNG	Uncontested	NA
E07	FU PAK	1	YU TAK PO	2,859*	2859
E07	FU PAK	2	LAW SIU HUNG PAUL	1,924	1924
E08	OLYMPIC	1	KO HIU WING(PATRICK)	1,414	1414
E08	OLYMPIC	2	TO KUN SUN JAMES	1,531*	1531
E09	CHERRY	1	LAM HO YEUNG	858	858
E09	CHERRY	2	CHUNG CHAK FAI	1,611*	1611
E09	CHERRY	3	NAKADE HITSUJIKO	172	172
E10	TAI KOK TSUI SOUTH	1	LAI YIU CHUN	1,362	1362
E10	TAI KOK TSUI SOUTH	2	CHOI SIU FUNG BENJAMIN	1,608*	1608
E11	TAI KOK TSUI NORTH	1	WONG KA YING	1,363	1363
E11	TAI KOK TSUI NORTH	2	LAU PAK KEI	2,633*	2633
E12	TAI NAN	1	CHIU YUK KWONG	606	606
E12	TAI NAN	2	FUNG JOSHUA MAN TAO	962	962
E12	TAI NAN	3	CHONG WING CHARN FRANCIS	1,424*	1424
E13	MONG KOK NORTH	1	WONG SHU MING	1,712*	1712
E13	MONG KOK NORTH	2	WONG KA CHUN	869	869
E14	MONG KOK EAST	1	TSE JEFFERSON KELLER	112	112
E14	MONG KOK EAST	2	WONG KIN SAN	1,442*	1442
E14	MONG KOK EAST	3	LAU CHUN YIP	1,172	1172
E15	MONG KOK SOUTH	1	CHOW CHUN FAI	Uncontested	NA
E16	YAU MA TEI NORTH	1	MAN YUN WA	689	689
E16	YAU MA TEI NORTH	2	LAM KIN MAN	1,682*	1682
E17	EAST TSIM SHA TSUI & KING'S PARK	1	CHAN MAN YU HENRY	681	681
E17	EAST TSIM SHA TSUI & KING'S PARK	2	TANG MING SUM MICHELLE	852*	852
E18	TSIM SHA TSUI CENTRAL	1	LIU SIU FAI	486	486
E18	TSIM SHA TSUI CENTRAL	2	KWAN SAU LING	1,099*	1099
E19	JORDAN NORTH	1	JO CHUN WAH(CRAIG)	941*	941
E19	JORDAN NORTH	2	CHICK CHI LEUNG	386	386
F01	PO LAI	1	TSE HIU HUNG	1,664	1664
F01	PO LAI	2	LEUNG YAU FONG	1,929*	1929
F02	CHEUNG SHA WAN	1	LAM KA FAI AARON	1,491*	1491
F02	CHEUNG SHA WAN	2	LAM SHUI HUM	246	246
F02	CHEUNG SHA WAN	3	LEE MAN HO LEOS	1,307	1307
F03	NAM CHEONG NORTH	1	CHENG WING SHUN VINCENT	1,461*	1461
F03	NAM CHEONG NORTH	2	CHAN WING FAI JORDAN	796	796
F04	SHEK KIP MEI	1	CHAN KWOK WAI	2,847*	2847
F04	SHEK KIP MEI	2	TSUNG PO SHAN	2,088	2088
F05	NAM CHEONG EAST	1	HO KAI MING KALVIN	1,727*	1727
F05	NAM CHEONG EAST	2	MIU HOI MING	1,287	1287
F06	NAM CHEONG SOUTH	1	LAM WAI TONG	786	786
F06	NAM CHEONG SOUTH	2	LEE WING MAN	1,544*	1544
F07	NAM CHEONG CENTRAL	1	LAU PUI YUK	1,284*	1284
F07	NAM CHEONG CENTRAL	2	MAK WAI MING	538	538
F08	NAM CHEONG WEST	1	HEUNG MING HAU	1,217	1217
F08	NAM CHEONG WEST	2	WAI WOON NAM	1,873*	1873
F09	FU CHEONG	1	LI KWING	2,130	2130
F09	FU CHEONG	2	LEUNG MAN KWONG	2,973*	2973
F10	LAI KOK	1	CHAN WING YAN	2,531*	2531
F10	LAI KOK	2	WONG CHUNG KI ERIC	215	215
F10	LAI KOK	3	FUNG KIN KEE FREDERICK	2,432	2432
F11	FORTUNE	1	CHEUNG TAK WAI	1,898	1898
F11	FORTUNE	2	CHOW WING HENG(ZOE)	2,137*	2137
F12	LAI CHI KOK SOUTH	1	YEUNG YUK	3,477*	3477
F12	LAI CHI KOK SOUTH	2	TAN WIE HON DERRICK	1,191	1191
F12	LAI CHI KOK SOUTH	3	MUI YU	94	94
F13	MEI FOO SOUTH	1	TZENG LI WEN JUDY	179	179
F13	MEI FOO SOUTH	2	WONG TAK CHUEN JOE	2,193	2193
F13	MEI FOO SOUTH	3	WONG TAT TUNG	2,421*	2421
F14	MEI FOO CENTRAL	1	NG YUET LAN	1,803*	1803
F14	MEI FOO CENTRAL	2	SHUM SIU HUNG	1,675	1675
F14	MEI FOO CENTRAL	3	CHAN CHUNG KONG STEPHEN	241	241
F15	MEI FOO NORTH	1	CHEUNG WING SUM AMBROSE	2,636*	2636
F15	MEI FOO NORTH	2	LI CHUN HEI JOSHUA	1,816	1816
F16	LAI CHI KOK CENTRAL	1	LI KI FUNG BRUCE(BRUCE)	2,229	2229
F16	LAI CHI KOK CENTRAL	2	YUEN HOI MAN(RAMON)	2,353*	2353
F17	LAI CHI KOK NORTH	1	CHUM TAK SHING	1,173*	1173
F17	LAI CHI KOK NORTH	2	WU SAI CHUEN	64	64
F17	LAI CHI KOK NORTH	3	WONG KING(DR.KING)	877	877
F18	UN CHAU & SO UK	1	CHAN WAI MING	3,491*	3491
F18	UN CHAU & SO UK	2	FONG CHI LUNG	1,160	1160
F19	LEI CHENG UK	1	KONG KWAI SANG	2,335*	2335
F19	LEI CHENG UK	2	CHAN KENG CHAU	2,124	2124
F20	HA PAK TIN	1	YAN KAI WING	2,320*	2320
F20	HA PAK TIN	2	TANG MEI CHING(SALLY)	1,152	1152
F21	YAU YAT TSUEN	1	CHAU DICKSON KA FAAT	982	982
F21	YAU YAT TSUEN	2	LEE TSZ KING DOMINIC(DOMINIC)	2,277*	2277
F22	NAM SHAN, TAI HANG TUNG & TAI HANG SAI	1	WAI HOI YING	1,991	1991
F22	NAM SHAN, TAI HANG TUNG & TAI HANG SAI	2	TAM KWOK KIU	2,563*	2563
F22	NAM SHAN, TAI HANG TUNG & TAI HANG SAI	3	FOO WAI LOK	54	54
F23	LUNG PING & SHEUNG PAK TIN	1	CHENG CHI HONG	161	161
F23	LUNG PING & SHEUNG PAK TIN	2	LAM WAI MAN RAYMOND	1,678	1678
F23	LUNG PING & SHEUNG PAK TIN	3	NG MEI CARMAN	2,454*	2454
G01	MA TAU WAI	1	SIU TIN HUNG(TERENCE)	2,670*	2670
G01	MA TAU WAI	2	MOK KA HAN ROSANDA	2,625	2625
G02	MA HANG CHUNG	1	WONG YUN CHEONG	1,618	1618
G02	MA HANG CHUNG	2	LAU SHU YIN	148	148
G02	MA HANG CHUNG	3	LAI KWONG WAI	1,663*	1663
G03	MA TAU KOK	1	KWAN HO YEUNG	1,790*	1790
G03	MA TAU KOK	2	AU WING HO	768	768
G04	LOK MAN	1	YANG WING KIT	2,310*	2310
G04	LOK MAN	2	PONG YAT MING	1,561	1561
G05	SHEUNG LOK	1	CHAN KA LING JUDY	209	209
G05	SHEUNG LOK	2	LUK KING KWONG	2,776*	2776
G05	SHEUNG LOK	3	WONG WING KIT	2,332	2332
G06	HO MAN TIN	1	CHENG LEE MING	2,376*	2376
G06	HO MAN TIN	2	CHAN LAI KWAN	1,852	1852
G07	KADOORIE	1	WONG CHI	1,333	1333
G07	KADOORIE	2	LAU HOK WAI	92	92
G07	KADOORIE	3	SIU LEONG SING	2,378*	2378
G08	PRINCE	1	TING KIN WA	Uncontested	NA
G09	KOWLOON TONG	1	HO HIN MING	Uncontested	NA
G10	LUNG SHING	1	WONG MAN SING	395	395
G10	LUNG SHING	2	NG PO KEUNG	2,021*	2021
G11	SUNG WONG TOI	1	YEUNG CHUN YU	2,015*	2015
G11	SUNG WONG TOI	2	IP CHI WAI ALEXANDER	502	502
G11	SUNG WONG TOI	3	CHENG CHUN WAH GARY	694	694
G12	KAI TAK NORTH	1	LEUNG YUEN TING	2,610*	2610
G12	KAI TAK NORTH	2	LAM HEI TING MIRANDA	73	73
G12	KAI TAK NORTH	3	CHAN PO YUK	16	16
G12	KAI TAK NORTH	4	LI TING FUNG	932	932
G13	KAI TAK SOUTH	1	HE HUAHAN	2,199*	2199
G13	KAI TAK SOUTH	2	SO YEE MAN	763	763
G14	HOI SHAM	1	PUN KWOK WAH	2,478*	2478
