CACODE	CONSTITUENCY	CAND_NUM	NAME	RESULT	VOTE
J14	SAU MAU PING SOUTH	1	CHAN YIU HUNG JIMMY	2,418*	2418
J14	SAU MAU PING SOUTH	2	CHENG KWOK CHUN	668	668
J14	SAU MAU PING SOUTH	3	KAI MING WAH	340	340
J15	SAU MAU PING CENTRAL	1	CHEUNG PUI KONG	Uncontested	NA
J16	HING TIN	1	CHAN MAN KIN	2,424*	2424
J16	HING TIN	2	LO CHING	2,125	2125
J17	LAM TIN	1	KAN MING TUNG	3,215*	3215
J17	LAM TIN	2	YAU MEI PO	1,285	1285
J18	KWONG TAK	1	OR CHONG SHING WILSON	Uncontested	NA
J19	PING TIN	1	YIU PAK LEUNG	3,404*	3404
J19	PING TIN	2	NG CHI FAI	988	988
J20	PAK NGA	1	YU SUI SANG	138	138
J20	PAK NGA	2	HO KAI MING	2,666*	2666
J20	PAK NGA	3	CHAN YU MING	1,528	1528
J21	YAU TONG EAST	1	CHEUNG KI TANG	Uncontested	NA
J22	YAU LAI	1	CHENG WAH TUNG FRANCIS	318	318
J22	YAU LAI	2	LAI SHU HO PATRICK	1,914*	1914
J22	YAU LAI	3	HON KA MING	1,264	1264
J23	CHUI CHEUNG	1	TSE SUK CHUN	2,918*	2918
J23	CHUI CHEUNG	2	WONG KAI SAN	2,654	2654
J24	YAU TONG WEST	1	LUI TUNG HAI	Uncontested	NA
J25	LAGUNA CITY	1	TANG WING CHUN	4,091*	4091
J25	LAGUNA CITY	2	TAM MAN HO JEREMY JANSEN	3,243	3243
J26	KING TIN	1	CHEUNG SHUN WAH	2,791*	2791
J26	KING TIN	2	TONG DICK KAN	2,170	2170
J27	TSUI PING	1	CHENG KEUNG FUNG	3,457*	3457
J27	TSUI PING	2	LAM HO CHUN CAROL	1,134	1134
J28	PO LOK	1	CHENG KENG IEONG	2,097*	2097
J28	PO LOK	2	LAU TING ON	1,717	1717
J29	YUET WAH	1	HSU HOI SHAN	2,403*	2403
J29	YUET WAH	2	CHAN KAM WAI	1,098	1098
J30	HIP HONG	1	CHAU CHUNG PING	634	634
J30	HIP HONG	2	CHAN CHUNG BUN BUNNY	1,831*	1831
J30	HIP HONG	3	WONG YI TING EDITH	907	907
J31	HONG LOK	1	MA YAT CHIU	1,624*	1624
J31	HONG LOK	2	CHAN CHAK TO	1,525	1525
J32	TING ON	1	KAM KIN	2,159*	2159
J32	TING ON	2	WONG KAI MING	2,097	2097
J33	UPPER NGAU TAU KOK ESTATE	1	CHAN KOK WAH BEN	2,453*	2453
J33	UPPER NGAU TAU KOK ESTATE	2	LUI CHI HANG HENDRICK	1,531	1531
J34	LOWER NGAU TAU KOK ESTATE	1	WONG CHING FUNG	1,979	1979
J34	LOWER NGAU TAU KOK ESTATE	2	CHEUNG YIU PAN	2,441*	2441
J35	TO TAI	1	YIP HING KWOK	Uncontested	NA
J36	LOK WAH NORTH	1	WONG CHI KEN	1,729*	1729
J36	LOK WAH NORTH	2	FUNG KAM YUEN	1,246	1246
J37	LOK WAH SOUTH	1	LEE KA HANG	1,687	1687
J37	LOK WAH SOUTH	2	SO KOON CHUNG KEVIN	2,245*	2245
K01	TAK WAH	1	LO SIU KIT	Uncontested	NA
K02	YEUNG UK ROAD	1	CHAN HAN PAN	2,075*	2075
K02	YEUNG UK ROAD	2	LAM SEK TIM	1,233	1233
K03	HOI BUN	1	CHENG PAK KEUNG	1,926	1926
K03	HOI BUN	2	CHOW PING TIM	2,647*	2647
K04	CLAGUE GARDEN	1	KOO YEUNG PONG	1,825*	1825
K04	CLAGUE GARDEN	2	TONG WING CHI	1,550	1550
K05	FUK LOI	1	KOT SIU YUEN	Uncontested	NA
K06	DISCOVERY PARK	1	TIEN MICHAEL PUK SUN	3,674*	3674
K06	DISCOVERY PARK	2	CHIU YAN LOY	2,020	2020
K07	TSUEN WAN CENTRE	1	LI HUNG POR	2,235*	2235
K07	TSUEN WAN CENTRE	2	TSANG TAI	2,074	2074
K08	ALLWAY	1	WONG YUI TAK LOUIS	1,777	1777
K08	ALLWAY	2	LAM YUEN PUN	2,820*	2820
K09	LAI TO	1	WONG WAI KIT	3,661*	3661
K09	LAI TO	2	CHIU PUI SZE(VICKY)	1,441	1441
K10	TING SHAM	1	HA HEI LOK	1,606	1606
K10	TING SHAM	2	CHENG CHIT PUN	1,799*	1799
K10	TING SHAM	3	CHENG SHING LUNG EDWIN	454	454
K11	TSUEN WAN WEST	1	CHU SHUN MING	793	793
K11	TSUEN WAN WEST	2	LAM LAM NIXIE	2,462*	2462
K11	TSUEN WAN WEST	3	POON CHIU LAM	1,500	1500
K12	TSUEN WAN RURAL	1	CHAN WAI MING	1,812	1812
K12	TSUEN WAN RURAL	2	NG HIN LUNG	1,984*	1984
K13	MA WAN	1	TSENG WEN TIEN JUSTIN	529	529
K13	MA WAN	2	LUK WAI LEUNG WILLIAM	193	193
K13	MA WAN	3	TAM HOI PONG	1,668*	1668
K13	MA WAN	4	WONG CHIU WAH KEVIN	1,056	1056
K14	LUK YEUNG	1	WONG PUI CHI	1,933	1933
K14	LUK YEUNG	2	LAM FAAT KANG	2,193*	2193
K15	LEI MUK SHUE EAST	1	CHAN YUEN SUM SUMLY	3,169*	3169
K15	LEI MUK SHUE EAST	2	LUI DIK MING	1,773	1773
K16	LEI MUK SHUE WEST	1	TAM TSZ FEI	1,385	1385
K16	LEI MUK SHUE WEST	2	WONG KA WA	2,895*	2895
K17	SHEK WAI KOK	1	MAN YU MING	2,356*	2356
K17	SHEK WAI KOK	2	LAI MAN FAI	1,035	1035
K18	CHEUNG SHEK	1	WONG CHI SHUN ADEN	864	864
K18	CHEUNG SHEK	2	CHAN CHUN CHUNG	1,997*	1997
K18	CHEUNG SHEK	3	CHAN KA WING	353	353
L01	TUEN MUN TOWN CENTRE	1	CHIU KAM MOON	834	834
L01	TUEN MUN TOWN CENTRE	2	AU CHI YUEN	1,517*	1517
L02	SIU CHI	1	LAM CHUNG HOI	3,551*	3551
L02	SIU CHI	2	LI CHING YEE	1,532	1532
L02	SIU CHI	3	WONG KA LEUNG	232	232
L03	SIU TSUI	1	YIP MAN PAN	3,138*	3138
L03	SIU TSUI	2	NG HON YING	192	192
L03	SIU TSUI	3	TANG CHUN TO	2,536	2536
L04	ON TING	1	FUNG PUI YIN	2,216	2216
L04	ON TING	2	KONG FUNG YI	2,383*	2383
L05	YAU OI SOUTH	1	CHIN PO FUN	1,057	1057
L05	YAU OI SOUTH	2	TSANG HIN HONG	2,085*	2085
L06	YAU OI NORTH	1	CHAN WAN SANG	1,616	1616
L06	YAU OI NORTH	2	TAM CHUN YIN	1,731*	1731
L06	YAU OI NORTH	3	LAM LAP	92	92
L07	TSUI HING	1	CHU YIU WAH	Uncontested	NA
L08	SHAN KING	1	NG KOON HUNG	1,853*	1853
L08	SHAN KING	2	HON LAI YIN	1,605	1605
L09	KING HING	1	CHAN YAU HOI	Uncontested	NA
L10	HING TSAK	1	CHAN SZE NGA	1,498	1498
L10	HING TSAK	2	TSUI FAN	2,673*	2673
L11	SAN HUI	1	HO HAU CHUN	742	742
L11	SAN HUI	2	HUI CHEUK HO	631	631
L11	SAN HUI	3	KWU HON KEUNG	1,099*	1099
L12	SAM SHING	1	LEE KAM TIM	892	892
L12	SAM SHING	2	SO SHIU SHING	1,837*	1837
L13	HANFORD	1	CHU SHUN NGA BEATRICE	2,597*	2597
L13	HANFORD	2	NGAI KA HO	1,021	1021
L13	HANFORD	3	WONG CHAK WAH	96	96
L13	HANFORD	4	LI KWAI FONG	697	697
L14	FU SUN	1	LUNG KANG SAN	676	676
L14	FU SUN	2	LI SAI KEUNG	179	179
L14	FU SUN	3	TAI YIN CHIU(THOMAS)	445	445
L14	FU SUN	4	CHEUNG WAI KAU	920	920
L14	FU SUN	5	KAM MAN FUNG	2,493*	2493
L14	FU SUN	6	HO YING SANG(CHRIS)	172	172
L15	YUET WU	1	CHEUNG HANG FAI	2,073*	2073
L15	YUET WU	2	YIP LAI MEI NATALIE	1,682	1682
L16	SIU HEI	1	HAU KWOK TUNG	1,488	1488
L16	SIU HEI	2	YAN SIU NAM	2,021*	2021
L17	WU KING	1	LEUNG KIN MAN	1,454*	1454
L17	WU KING	2	CHOW KAI LIM	1,049	1049
L18	BUTTERFLY	1	YEUNG CHI HANG	2,505*	2505
L18	BUTTERFLY	2	SO OI KWAN	1,949	1949
L19	LOK TSUI	1	HO KWAN YIU	2,013*	2013
L19	LOK TSUI	2	YUEN WAI CHUNG	99	99
L19	LOK TSUI	3	CHENG CHUNG TAI	391	391
L19	LOK TSUI	4	CHEUNG WING WAI	25	25
L19	LOK TSUI	5	SHUM KAM TIM	94	94
L19	LOK TSUI	6	HO CHUN YAN	1,736	1736
L20	LUNG MUN	1	LUNG SHUI HING	Uncontested	NA
L21	SAN KING	1	LEE FUNG SIM	1,243	1243
L21	SAN KING	2	WONG LAI SHEUNG CATHERINE	2,686*	2686
L22	LEUNG KING	1	CHING CHI HUNG	2,366*	2366
L22	LEUNG KING	2	KWUN TUNG WING	1,290	1290
L23	TIN KING	1	LEE HUNG SHAM LOTHAR	2,295*	2295
L23	TIN KING	2	CHIU KIM LING	1,321	1321
L24	PO TIN	1	SO KA MAN	2,516*	2516
L24	PO TIN	2	CHU SIU HUNG	402	402
L25	KIN SANG	1	LAM TSZ CHING	1,283	1283
L25	KIN SANG	2	CHAN MAN WAH	2,456*	2456
L26	SIU HONG	1	MO SHING FUNG	2,677*	2677
L26	SIU HONG	2	LAW HO YAN	80	80
L26	SIU HONG	3	CHAN SHU YING JOSEPHINE	2,267	2267
L27	PRIME VIEW	1	HO HANG MUI	2,970*	2970
L27	PRIME VIEW	2	KWONG MAN TIK	1,126	1126
L28	FU TAI	1	CHAN MANWELL	2,823*	2823
L28	FU TAI	2	HO WAI CHEUNG	1,044	1044
L29	TUEN MUN RURAL	1	TANG TAK SUM	728	728
L29	TUEN MUN RURAL	2	TO SHECK YUEN	1,644*	1644
M01	FUNG NIN	1	LUI KIN	2,179*	2179
M01	FUNG NIN	2	WONG KWOK HUNG	1,227	1227
M02	SHUI PIN	1	YUEN MAN YEE	Uncontested	NA
M03	NAM PING	1	WONG WAI YIN ZACHARY	2,598*	2598
M03	NAM PING	2	CHEUNG FAN LAN	1,249	1249
M03	NAM PING	3	CHAN WAI YI	246	246
M04	PEK LONG	1	WONG YUK CHUN	2,013	2013
M04	PEK LONG	2	KWONG CHUN YU	2,890*	2890
M05	YUEN LONG CENTRE	1	LAM TING WAI	1,049	1049
M05	YUEN LONG CENTRE	2	SIU LONG MING	1,615*	1615
M06	YUEN LUNG	1	WONG WAI SHUN	2,651*	2651
M06	YUEN LUNG	2	CHONG KIN SHING	362	362
M07	FUNG CHEUNG	1	MAK IP SING	2,173*	2173
M07	FUNG CHEUNG	2	YU CHUNG LEUNG	1,425	1425
M07	FUNG CHEUNG	3	WONG WAI	163	163
M08	SHAP PAT HEUNG EAST	1	SHUM HO KIT	Uncontested	NA
M09	SHAP PAT HEUNG CENTRAL	1	LEUNG MING KIN	Uncontested	NA
M10	SHAP PAT HEUNG WEST	1	CHING CHAN MING	Uncontested	NA
M11	PING SHAN SOUTH	1	CHEUNG MUK LAM	Uncontested	NA
M12	PING SHAN CENTRAL	1	TANG HING IP	Uncontested	NA
M13	PING SHAN NORTH	1	TANG TAT SIN	938	938
M13	PING SHAN NORTH	2	YOUNG KA ON	1,344*	1344
M14	HA TSUEN	1	CHENG KAM HO	376	376
M14	HA TSUEN	2	TANG KA LEUNG	2,610*	2610
M15	TIN SHING	1	CHAN SZE CHING	3,702*	3702
M15	TIN SHING	2	LEUNG YIP PANG	1,807	1807
M16	SHUI OI	1	CHAU TSZ KI	1,434	1434
M16	SHUI OI	2	KWOK KEUNG	3,136*	3136
M17	SHUI WAH	1	KO CHUN KIT	1,634	1634
M17	SHUI WAH	2	CHOW WING KAN	1,941*	1941
M18	CHUNG WAH	1	WONG WAI LING	1,775*	1775
M18	CHUNG WAH	2	CHAN KA KUI	965	965
M19	YUET YAN	1	CHIU SAU HAN	Uncontested	NA
M20	FU YAN	1	KEUNG KWOK WAI	1,339	1339
M20	FU YAN	2	LAU KWAI YUNG	2,819*	2819
M21	YAT CHAK	1	KWOK HING PING	2,288*	2288
M21	YAT CHAK	2	WONG YUEN FAI	496	496
M21	YAT CHAK	3	WONG YU CHOI	1,468	1468
M22	TIN HENG	1	WONG PAK YU	1,317	1317
M22	TIN HENG	2	CHEUNG KWOK TUNG	846	846
M22	TIN HENG	3	LUK CHUNG HUNG(MICHAEL)	2,749*	2749
M23	WANG YAT	1	YIU KWOK WAI	Uncontested	NA
M24	CHING KING	1	TANG CHEUK HIM	2,423*	2423
M24	CHING KING	2	SO WING CHAU	632	632
M25	KINGSWOOD NORTH	1	LEE YUET MAN	2,775*	2775
M25	KINGSWOOD NORTH	2	HO WAI FONG POLLY	1,747	1747
M26	TSZ YAU	1	CHAN MEI LIN	2,438*	2438
M26	TSZ YAU	2	CHING YUNG FAI	1,345	1345
M27	YIU YAU	1	MA SHUK YIN	1,584*	1584
M27	YIU YAU	2	WONG PUI YIN AGATHA	1,255	1255
M28	TIN YIU	1	LEUNG CHE CHEUNG	1,713*	1713
M28	TIN YIU	2	LEUNG CHIN HANG(PLISKIN)	1,552	1552
M29	KINGSWOOD SOUTH	1	NG YUK YING(KATY)	1,724	1724
M29	KINGSWOOD SOUTH	2	CHAM KA HUNG DANIEL	2,191*	2191
M30	CHUNG PAK	1	WONG CHEUK KIN	2,078*	2078
M30	CHUNG PAK	2	MOK YIM HAY	1,380	1380
M31	FAIRVIEW PARK	1	TO KA LUN	1,826*	1826
M31	FAIRVIEW PARK	2	LEUNG WAI KWAN	144	144
M31	FAIRVIEW PARK	3	YAU TAI TAI	1,596	1596
M32	SAN TIN	1	MAN KWONG MING	2,286*	2286
M32	SAN TIN	2	MAN KWAI KI	1,193	1193
M33	KAM TIN	1	TANG CHEUK YIN	Uncontested	NA
M34	PAT HEUNG NORTH	1	TANG CHI KWONG	1,471	1471
M34	PAT HEUNG NORTH	2	TANG YUNG YIU RONNIE	1,806*	1806
M35	PAT HEUNG SOUTH	1	CHU HOI DICK EDDIE	1,482	1482
M35	PAT HEUNG SOUTH	2	LAI WAI HUNG	2,872*	2872
N01	LUEN WO HUI	1	LAW SAI YAN	1,981	1981
N01	LUEN WO HUI	2	TSANG HING LUNG	2,640*	2640
N01	LUEN WO HUI	3	LIU MING KIN(ANDY)	413	413
N02	FANLING TOWN	1	WONG CHUN NING	826	826
N02	FANLING TOWN	2	PANG CHUN SING GEORGE	1,403*	1403
N03	CHEUNG WAH	1	YIP YIU SHING CHRIS	1,569	1569
N03	CHEUNG WAH	2	CHAN YUK MING	1,814*	1814
N03	CHEUNG WAH	3	WONG KA HO	1,710	1710
N03	CHEUNG WAH	4	YUEN HOI WAI FEDER	178	178
N04	WAH DO	1	YIU MING	Uncontested	NA
N05	WAH MING	1	LAI SUM	1,814	1814
N05	WAH MING	2	CHAN WAI TAT	2,660*	2660
N06	YAN SHING	1	LAU KWOK FAN	Uncontested	NA
N07	SHING FUK	1	WAN WO TAT WARWICK	Uncontested	NA
N08	FANLING SOUTH	1	HO SHU KWONG RAYMOND	1,824*	1824
N08	FANLING SOUTH	2	WONG SING CHI	992	992
N09	CHING HO	1	LARM WAI LEUNG	Uncontested	NA
N10	YU TAI	1	TSANG KING CHUNG KENT	1,922*	1922
N10	YU TAI	2	SHEK FONG YAU	326	326
N10	YU TAI	3	HAU WING KONG ALVAN	672	672
N11	SHEUNG SHUI RURAL	1	HAU KAM LAM	2,474	2474
N11	SHEUNG SHUI RURAL	2	HAU FUK TAT SIMON	2,934*	2934
N12	CHOI YUEN	1	SO SAI CHI	2,481*	2481
N12	CHOI YUEN	2	LEUNG KAM SHING CLARENCE RONALD	1,975	1975
N13	SHEK WU HUI	1	LAU HON KIN	90	90
N13	SHEK WU HUI	2	WONG YUN KEUNG SIMON	1,760	1760
N13	SHEK WU HUI	3	LAM CHEUK TING	2,390*	2390
N14	TIN PING WEST	1	POON TAK WING	1,445	1445
N14	TIN PING WEST	2	WONG WANG TO	2,219*	2219
N14	TIN PING WEST	3	LEE CHING HEI	797	797
N15	FUNG TSUI	1	YU MAN KWONG	981	981
N15	FUNG TSUI	2	LIU KWOK WAH	1,460	1460
N15	FUNG TSUI	3	LIU HING HUNG	1,649*	1649
N16	SHA TA	1	WAN WO FAI	2,307*	2307
N16	SHA TA	2	TSANG YUK ON	1,104	1104
N16	SHA TA	3	CHEUNG KWAI CHOI	651	651
N16	SHA TA	4	CHU OI PING	111	111
N17	TIN PING EAST	1	LAU KI FUNG	1,726*	1726
N17	TIN PING EAST	2	OR SIN YI WINDY	1,567	1567
N17	TIN PING EAST	3	YU CHI SHING PAUL	603	603
N18	QUEEN'S HILL	1	TANG KUN NIN TONY	Uncontested	NA
P01	TAI PO HUI	1	LI KWOK YING	1,096*	1096
P01	TAI PO HUI	2	CHOY WING MUI MOLLY	865	865
P02	TAI PO CENTRAL	1	MUI SIU FUNG	1,444	1444
P02	TAI PO CENTRAL	2	AU CHUN WAH	1,866*	1866
P02	TAI PO CENTRAL	3	MAN WAI KEUNG	384	384
P03	CHUNG TING	1	LUI NOK	1,810	1810
P03	CHUNG TING	2	TAM WING FUN ERIC	1,881*	1881
P04	TAI YUEN	1	AU CHUN HO	1,334	1334
P04	TAI YUEN	2	CHENG CHUN PING	2,017*	2017
P05	FU HENG	1	WONG CHAU PAK	1,417	1417
P05	FU HENG	2	YAM MAN CHUEN	3,716*	3716
P06	YEE FU	1	CHEUNG FUNG YIN	1,607	1607
P06	YEE FU	2	YAM KAI BONG	4,148*	4148
P07	FU MING SUN	1	KWAN WING YIP	3,147*	3147
P07	FU MING SUN	2	CHAN YUNG WA	1,122	1122
P08	KWONG FUK & PLOVER COVE	1	WONG PIK KIU	2,248*	2248
P08	KWONG FUK & PLOVER COVE	2	KWOK SHU YAN	363	363
P08	KWONG FUK & PLOVER COVE	3	CHOW BENJAMIN	779	779
P09	WANG FUK	1	WOO KIN MAN CLEMENT	2,120*	2120
P09	WANG FUK	2	MAN NIM CHI	1,570	1570
P10	TAI PO KAU	1	CHAN SIU KUEN	Uncontested	NA
P11	WAN TAU TONG	1	CHENG WAI	2,123	2123
P11	WAN TAU TONG	2	YU CHI WING(KEN)	2,711*	2711
P12	SAN FU	1	KWOK WING KIN	2,064	2064
P12	SAN FU	2	LO HIU FUNG	2,447*	2447
P12	SAN FU	3	WU KAM FAI	129	129
P13	LAM TSUEN VALLEY	1	WAN YUK WING	374	374
P13	LAM TSUEN VALLEY	2	CHAN CHO LEUNG	2,468*	2468
P13	LAM TSUEN VALLEY	3	LAM CHUN CHEUNG	1,744	1744
P14	PO NGA	1	CHOW YUEN WAI	2,683*	2683
P14	PO NGA	2	WONG YUNG KAN	2,292	2292
P15	TAI WO	1	CHENG CHUN WO	Uncontested	NA
P16	OLD MARKET & SERENITY	1	LAU YUNG WAI	2,170*	2170
P16	OLD MARKET & SERENITY	2	CHEUNG KWOK WAI	1,699	1699
P17	HONG LOK YUEN	1	MAN CHEN FAI	1,132	1132
P17	HONG LOK YUEN	2	TANG MING TAI PATRICK	1,780*	1780
P18	SHUEN WAN	1	LAU CHEE SING(DR.)	Uncontested	NA
P19	SAI KUNG NORTH	1	LI WAH KWONG REX	1,024*	1024
P19	SAI KUNG NORTH	2	LEE KWAI YAU VICTOR	1,004	1004
Q01	SAI KUNG CENTRAL	1	CHEUNG SZE KIT ALAN	843	843
Q01	SAI KUNG CENTRAL	2	NG SZE FUK	1,723*	1723
Q02	PAK SHA WAN	1	PO WAI MING	1,109	1109
Q02	PAK SHA WAN	2	HIEW MOO SIEW	1,539*	1539
Q03	SAI KUNG ISLANDS	1	LI KA LEUNG PHILIP	Uncontested	NA
Q04	HANG HAU EAST	1	LAU MAN CHOI NEWMAN	810	810
Q04	HANG HAU EAST	2	LAU WAI CHEUNG PETER	962*	962
Q05	HANG HAU WEST	1	LUK SAU CHING	1,027	1027
Q05	HANG HAU WEST	2	YAU YUK LUN	1,397*	1397
Q06	PO YEE	1	TSE CHING FUNG	2,361*	2361
Q06	PO YEE	2	NG SHUET SHAN	1,838	1838
Q07	WAI KING	1	WONG SHING KWONG(JACK)	357	357
Q07	WAI KING	2	CHAN KAI WAI	3,014*	3014
Q08	DO SHIN	1	SO HO	572	572
Q08	DO SHIN	2	MOK RUBY	617	617
Q08	DO SHIN	3	SHUEN PAK MAN ANDREW	531	531
Q08	DO SHIN	4	CHEUNG CHIN PANG	1,216*	1216
Q09	KIN MING	1	CHAU KA LOK	710	710
Q09	KIN MING	2	LEUNG LI	3,719*	3719
Q10	CHOI KIN	1	NG JACOB	1,791	1791
Q10	CHOI KIN	2	HO MAN KIT RAYMOND	2,873*	2873
Q11	O TONG	1	AU YEUNG HO KWAN	1,314	1314
Q11	O TONG	2	LUI MAN KWONG	1,831*	1831
Q11	O TONG	3	KO WING LUEN	1,036	1036
Q12	FU KWAN	1	LUK PING CHOI	2,087*	2087
Q12	FU KWAN	2	LUI KIM HO(KIM)	1,671	1671
Q12	FU KWAN	3	SHEK YUEN HON	43	43
Q13	KWAN PO	1	LEE KWOK PUI	534	534
Q13	KWAN PO	2	CHAN CHIN CHUN(CYRUS)	480	480
Q13	KWAN PO	3	LEE SUN ANTONY	583	583
Q13	KWAN PO	4	WONG TIN YAU	487	487
Q13	KWAN PO	5	LAI MING CHAK	784*	784
Q14	NAM ON	1	CHAU YIN MING FRANCIS	3,359*	3359
Q14	NAM ON	2	YU KAI CHUN	985	985
Q15	HONG KING	1	CHAN KIN CHUN KEN	2,446	2446
Q15	HONG KING	2	LAM SIU CHUNG FRANKIE	3,274*	3274
Q16	TSUI LAM	1	CHAN YUEN PAN	1,396	1396
Q16	TSUI LAM	2	TAM LANNY	3,051*	3051
Q17	PO LAM	1	AU NING FAT ALFRED	2,446*	2446
Q17	PO LAM	2	WONG LOK YIN(ROCKY)	779	779
Q17	PO LAM	3	CHEUNG CHI TUNG	913	913
Q18	YAN YING	1	YEUNG HO CHUEN(HARRIS)	1,007	1007
Q18	YAN YING	2	CHUNG KAM LUN(BEN)	3,283*	3283
Q18	YAN YING	3	LIU TSZ CHUNG MICHAEL	1,229	1229
Q19	WAN HANG	1	SUN WAI KEI	2,313	2313
Q19	WAN HANG	2	FAN GARY KWOK WAI	3,104*	3104
Q19	WAN HANG	3	LAI TZE WAH	117	117
Q20	KING LAM	1	WAN KAI MING	2,878*	2878
Q20	KING LAM	2	LAM WING YIN	2,707	2707
Q21	HAU TAK	1	LING MAN HOI	2,679*	2679
Q21	HAU TAK	2	TSANG HO MAN	2,261	2261
Q22	FU NAM	1	CHAN YIU MING	2,113	2113
Q22	FU NAM	2	CHAN POK CHI	2,207*	2207
Q23	TAK MING	1	WAN YUET CHEUNG	Uncontested	NA
Q24	SHEUNG TAK	1	CHOI KIN CHING(CHOI CHUN HIU)	650	650
Q24	SHEUNG TAK	2	KAN SIU KEI	2,978*	2978
Q24	SHEUNG TAK	3	WONG FAI	1,662	1662
Q25	KWONG MING	1	SHI HAU KIT SIMON	777	777
Q25	KWONG MING	2	CHOI MING HEI	1,055	1055
Q25	KWONG MING	3	CHONG YUEN TUNG	3,373*	3373
Q26	WAN PO NORTH	1	CHUI TING PONG	665	665
Q26	WAN PO NORTH	2	FONG KWOK SHAN CHRISTINE	2,667*	2667
Q27	WAN PO SOUTH	1	CHEUNG MEI HUNG	2,188*	2188
Q27	WAN PO SOUTH	2	WU CHEUK HIM	539	539
R01	SHA TIN TOWN CENTRE	1	WONG CHI YUNG(ALF WONG)	1,328	1328
R01	SHA TIN TOWN CENTRE	2	WAI HING CHEUNG	2,759*	2759
R02	LEK YUEN	1	WONG YUE HON	1,799*	1799
R02	LEK YUEN	2	WONG HO MING	1,406	1406
R03	WO CHE ESTATE	1	YUE SHIN MAN ANNA(ANNA)	2,495*	2495
R03	WO CHE ESTATE	2	LEE WAI FUNG(DECO)	1,602	1602
R03	WO CHE ESTATE	3	LEE TAK WAH	1,185	1185
R04	CITY ONE	1	WONG KA WING	Uncontested	NA
R05	YUE SHING	1	LEUNG KA FAI	Uncontested	NA
R06	WONG UK	1	LEUNG CHI WAI	1,936	1936
R06	WONG UK	2	LAI TSZ YAN	2,111*	2111
R07	SHA KOK	1	CHAN BILLY SHIU YEUNG	2,627*	2627
R07	SHA KOK	2	YEUNG SIN HUNG	2,437	2437
R08	POK HONG	1	CHIU CHU PONG	2,859*	2859
R08	POK HONG	2	CHAN KWOK TIM	2,666	2666
R09	JAT MIN	1	CHAU PING HIM	541	541
R09	JAT MIN	2	YIP KA MING MICHAEL	1,050	1050
R09	JAT MIN	3	YAU MAN CHUN	3,221*	3221
R10	CHUN FUNG	1	LEUNG KA WAI	1,578	1578
R10	CHUN FUNG	2	CHAN NOK HANG	3,724*	3724
R11	SUN TIN WAI	1	LI LOK YAN	1,488	1488
R11	SUN TIN WAI	2	CHING CHEUNG YING	2,455*	2455
R12	CHUI TIN	1	HUI YUI YU	2,048*	2048
R12	CHUI TIN	2	WONG CHAK PIU PHILIP	1,675	1675
R13	HIN KA	1	LAM CHUNG YAN	2,473*	2473
R13	HIN KA	2	MOK WAI HUNG	1,713	1713
R14	LOWER SHING MUN	1	TONG HOK LEUNG	1,209*	1209
R14	LOWER SHING MUN	2	LEE YUEN KAM	987	987
R14	LOWER SHING MUN	3	CHONG YIU KAN SHERMAN	1,175	1175
R15	WAN SHING	1	WONG LEUNG HI	962	962
R15	WAN SHING	2	CHEUNG TAK WING	927	927
R15	WAN SHING	3	HO HAU CHEUNG	1,989*	1989
R16	KENG HAU	1	NG KAM HUNG	2,826*	2826
R16	KENG HAU	2	HO KWOK WAH GEORGE	2,144	2144
R17	TIN SUM	1	PUN KWOK SHAN	Uncontested	NA
R18	CHUI KA	1	WAI TAK LUN	1,029	1029
R18	CHUI KA	2	LEE KAM MING	1,068	1068
R18	CHUI KA	3	LI SAI HUNG	2,433*	2433
R19	TAI WAI	1	TUNG KIN LEI	3,649*	3649
R19	TAI WAI	2	LEUNG CHUN HIN	2,087	2087
R20	CHUNG TIN	1	WONG HOK LAI	1,631*	1631
R20	CHUNG TIN	2	LO YUET CHAU	662	662
R20	CHUNG TIN	3	TANG WING CHEONG	1,268	1268
R21	SUI WO	1	YAU CHI KIN	1,984	1984
R21	SUI WO	2	PANG CHEUNG WAI THOMAS	2,160*	2160
R21	SUI WO	3	LI SUI HA(LISA)	101	101
R22	FO TAN	1	PONG SCARLETT OI LAN	1,905*	1905
R22	FO TAN	2	CHAN MAN FAI	1,250	1250
R23	CHUN MA	1	HO WAI LOK(RONALD)	1,169	1169
R23	CHUN MA	2	SIU HIN HONG	1,658*	1658
R23	CHUN MA	3	CHENG WING CHUNG(PC)	148	148
R24	CHUNG ON	1	QUAT ELIZABETH(EQ)	2,376	2376
R24	CHUNG ON	2	YIP WING	2,506*	2506
R25	KAM TO	1	YEUNG MAN YUI(GARY)	2,455	2455
R25	KAM TO	2	CHAN KWOK KEUNG(JAMES)	2,592*	2592
R26	MA ON SHAN TOWN CENTRE	1	LEE CHI WING ALVIN	2,391*	2391
R26	MA ON SHAN TOWN CENTRE	2	MAN CHI WAI	1,106	1106
R27	LEE ON	1	MAK YUN PUI(CHRIS MAK)	3,938*	3938
R27	LEE ON	2	KONG CHEUK WAI	33	33
R27	LEE ON	3	LO TAI SUEN ADA	1,767	1767
R28	FU LUNG	1	TSANG SO LAI	3,027*	3027
R28	FU LUNG	2	LAW KWONG KEUNG(KK)	2,730	2730
R29	WU KAI SHA	1	LI WING SHING	1,567*	1567
R29	WU KAI SHA	2	SIO CHAN IN DEVIN	1,121	1121
